iter	Passed	Remaining
706	7542	8459
707	7551	8447
708	7559	8433
709	7567	8420
710	7571	8402
711	7580	8389
712	7590	8377
713	7597	8364
714	7606	8351
715	7615	8338
716	7625	8326
717	7630	8310
718	7638	8297
719	7647	8284
720	7656	8272
721	7665	8260
722	7674	8248
723	7683	8235
724	7692	8223
725	7700	8209
726	7710	8198
727	7721	8188
728	7729	8174
729	7737	8161
730	7744	8147
731	7753	8135
732	7762	8122
733	7775	8114
734	7784	8101
735	7791	8087
736	7800	8075
737	7809	8063
738	7818	8051
739	7827	8038
740	7833	8024
741	7839	8008
742	7846	7994
743	7854	7981
744	7862	7967
745	7871	7955
746	7877	7940
747	7887	7929
748	7897	7918
749	7906	7906
750	7915	7894
751	7922	7880
752	7929	7866
753	7941	7856
754	7950	7845
755	7959	7833
756	7968	7820
757	7975	7806
758	7982	7792
759	7991	7780
760	8000	7769
761	8009	7757
762	8017	7744
763	8028	7733
764	8036	7720
765	8043	7707
766	8050	7693
767	8060	7682
768	8069	7670
769	8076	7656
770	8083	7642
771	8090	7629
772	8098	7617
773	8103	7601
774	8110	7587
775	8119	7575
776	8126	7561
777	8132	7547
778	8139	7533
779	8148	7521
780	8157	7509
781	8165	7497
782	8174	7485
783	8183	7473
784	8190	7459
785	8197	7446
786	8205	7434
787	8213	7421
788	8222	7409
789	8232	7398
790	8243	7389
791	8252	7377
792	8261	7365
793	8271	7354
794	8281	7343
795	8287	7329
796	8295	7317
797	8304	7305
798	8313	7293
799	8323	7283
800	8334	7273
801	8343	7261
802	8352	7249
803	8360	7237
804	8368	7225
805	8376	7212
806	8386	7201
807	8394	7189
808	8402	7176
809	8411	7165
810	8420	7153
811	8429	7142
812	8437	7130
813	8447	7119
814	8457	7108
815	8467	7098
816	8477	7086
817	8486	7075
818	8494	7063
819	8501	7049
820	8509	7037
821	8520	7027
822	8529	7016
823	8538	7004
824	8546	6992
825	8549	6976
826	8557	6964
827	8566	6952
828	8574	6940
829	8583	6929
830	8589	6915
831	8599	6904
832	8607	6891
833	8615	6879
834	8625	6869
835	8634	6858
836	8644	6847
837	8650	6833
838	8660	6823
839	8667	6810
840	8677	6799
841	8683	6785
842	8692	6774
843	8702	6763
844	8709	6751
845	8717	6739
846	8724	6726
847	8733	6714
848	8740	6702
849	8747	6689
850	8750	6673
851	8759	6662
852	8769	6651
853	8777	6640
854	8785	6627
855	8794	6616
856	8802	6604
857	8810	6592
858	8818	6580
